"place_name","lat","lon","geo","place_descryption","plc_id","tpes"
"""امور مالیاتی کردستان، ساختمان فلسطین""","35.3095752","47.0032524","0101000020E610000017D11B936A80474017D11B936A804740","""Sanandaj""","22","[""accounting"",""local_government_office"",""finance"",""point_of_interest"",""establishment""]"
"""امور مالیاتی کردستان، ساختمان فلسطین""","35.3095752","47.0032524","0101000020E610000017D11B936A80474017D11B936A804740","""Sanandaj""","23","[""accounting"",""local_government_office"",""finance"",""point_of_interest"",""establishment""]"
"""Sanandaj International Airport""","35.2516595","47.0135916","0101000020E61000000AC09A5EBD8147400AC09A5EBD814740","""Sanandaj, Kermanshah Hwy Sanandaj""","24","[""airport"",""point_of_interest"",""establishment""]"
"""Toheed Hospital Heliport""","35.3002389","47.017796","0101000020E6100000F3FFAA2347824740F3FFAA2347824740","""Sanandaj""","25","[""premise"",""airport"",""point_of_interest"",""establishment""]"
"""Children Park""","35.2975291","46.979903","0101000020E61000004B2025766D7D47404B2025766D7D4740","""Sanandaj, Abidar Circular""","26","[""amusement_park"",""point_of_interest"",""establishment""]"
"""آبیدر""","35.3115281","46.9663063","0101000020E61000009B35C2ECAF7B47409B35C2ECAF7B4740","""Sanandaj""","27","[""amusement_park"",""point_of_interest"",""establishment""]"
"""شهر بازی پارک ملّت""","35.2979224","47.0019975","0101000020E61000003C963E74418047403C963E7441804740","""Sanandaj""","28","[""park"",""premise"",""amusement_park"",""point_of_interest"",""establishment""]"
"""گالری خط چوبی""","35.3191514","46.9954187","0101000020E6100000D42945E1697F4740D42945E1697F4740","""Sanandaj""","29","[""art_gallery"",""point_of_interest"",""establishment""]"
"""26 Atelier""","35.3259183","46.9986926","0101000020E6100000EEE0BB28D57F4740EEE0BB28D57F4740","""Sanandaj""","30","[""art_gallery"",""point_of_interest"",""establishment""]"
"""گالری معماری قریشی _ اوبو دیزاین""","35.3134282","46.9781952","0101000020E6100000568D1480357D4740568D1480357D4740","""Sanandaj, كوچۀ بهشت 4""","31","[""art_gallery"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3121431","46.9951719","0101000020E6100000F832F6CA617F4740F832F6CA617F4740","""Sanandaj, Keshavarz Street""","32","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.3105685","46.9964747","0101000020E61000004DE5A37B8C7F47404DE5A37B8C7F4740","""Sanandaj, پاسداران""","33","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.3089147","47.0004049","0101000020E61000000B218C440D8047400B218C440D804740","""Sanandaj, Sayed Qutb""","34","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""چاپ ادیب""","35.3127707","47.0027656","0101000020E6100000E3C6889F5A804740E3C6889F5A804740","""Sanandaj, Namaki Boulevard""","35","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3123379","46.9892026","0101000020E61000001F0FD8309E7E47401F0FD8309E7E4740","""Sanandaj, Mardokh Street""","36","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3154261","47.0028377","0101000020E610000013595AFC5C80474013595AFC5C804740","""Sanandaj, خیابان سیروس""","37","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3213845","47.001919","0101000020E6100000DB1EBDE13E804740DB1EBDE13E804740","""Sanandaj, Taleghani Street""","38","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.300333","46.9963132","0101000020E61000005C49E130877F47405C49E130877F4740","""Sanandaj, Adab Street""","39","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""ATM Karafarin bank""","35.311881","46.9958106","0101000020E61000004C01C4B8767F47404C01C4B8767F4740","""Sanandaj""","40","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""ATM Sepah bank""","35.3121494","46.9962605","0101000020E6100000F9E5CC76857F4740F9E5CC76857F4740","""Sanandaj""","41","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""ATM Mellat bank""","35.3117527","46.9968305","0101000020E6100000E2934E24987F4740E2934E24987F4740","""Sanandaj""","42","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""ATM Tejarat bank""","35.3122695","46.9965211","0101000020E61000000F23DF008E7F47400F23DF008E7F4740","""Sanandaj""","43","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""ATM Meli bank""","35.3106747","46.9959937","0101000020E6100000D242B8B87C7F4740D242B8B87C7F4740","""Sanandaj""","44","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""شرکت آدونیس""","35.3102527","46.9933284","0101000020E610000011189062257F474011189062257F4740","""Sanandaj, Golbarg Alley""","45","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Ghavamin Bank""","35.3108805","46.999507","0101000020E6100000C18F6AD8EF7F4740C18F6AD8EF7F4740","""Sanandaj, Felestin Street""","46","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Tejarat bank ATM""","35.3121097","46.9790599","0101000020E61000009BA9B5D5517D47409BA9B5D5517D4740","""Mobarak Abad, Sanandaj""","47","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""خود پرداز بانک مسکن""","35.3019633","47.0084458","0101000020E6100000EF6481C014814740EF6481C014814740","""Sanandaj""","48","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""بانک مسکن""","35.3116772","46.9789405","0101000020E61000006D1D1CEC4D7D47406D1D1CEC4D7D4740","""Mobarak Abad, Sanandaj""","49","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Sepah bank ATM""","35.3133089","46.9784725","0101000020E610000087C43D963E7D474087C43D963E7D4740","""Sanandaj, Chamran Boulevard""","50","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Ansar Bank ATM""","35.2995344","46.9860825","0101000020E610000035548CF3377E474035548CF3377E4740","""Sanandaj""","51","[""atm"",""finance"",""point_of_interest"",""establishment""]"
"""نانوایی لواش بدری""","35.3144215","46.9934667","0101000020E61000002015B5EA297F47402015B5EA297F4740","""Sanandaj""","52","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نان سەنەکی""","35.3071029","46.9934677","0101000020E6100000F09018F3297F4740F09018F3297F4740","""Sanandaj""","53","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نانوایی سنگک""","35.317241","47.0006262","0101000020E6100000A842F28414804740A842F28414804740","""Sanandaj""","54","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نانوایی جمال امینی""","35.3231724","46.9982122","0101000020E6100000EEBBD86AC57F4740EEBBD86AC57F4740","""Sanandaj""","55","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""خبازی ماشینی قادریان""","35.319858","46.9842044","0101000020E6100000274AE768FA7D4740274AE768FA7D4740","""Sanandaj, Shahid Borujerdi Street""","56","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""Lavash Bread""","35.2988736","46.9894574","0101000020E610000081E4428AA67E474081E4428AA67E4740","""Sanandaj, Sa'di Street""","57","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""sangak bread""","35.2987646","46.989281","0101000020E6100000EFC682C2A07E4740EFC682C2A07E4740","""Sanandaj, Sa'di Street""","58","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""سنگک پزی""","35.314578","47.0176059","0101000020E6100000BC5BFEE840824740BC5BFEE840824740","""Sanandaj, Ali Asghar Kordestani Street""","59","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نانوای شاطرصدیق""","35.3258565","47.0140614","0101000020E6100000669192C3CC814740669192C3CC814740","""فرجه، سنندج""","60","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نانوایی آقای اسدی""","35.317142","47.0208229","0101000020E610000002412553AA82474002412553AA824740","""Sanandaj""","61","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نانوای شاطر رمضان""","35.3176202","47.0218143","0101000020E6100000E68A9CCFCA824740E68A9CCFCA824740","""فرجه، سنندج""","62","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""سنگک داغ""","35.3147553","47.0229381","0101000020E61000008BAABAA2EF8247408BAABAA2EF824740","""Sanandaj, فرجه, Ali Asghar Kordestani Street""","63","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نانوایی شاطر جمال""","35.3175485","47.0222817","0101000020E610000050667220DA82474050667220DA824740","""فرجه، سنندج""","64","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نانوایی شاطر عبید""","35.318349","47.0221147","0101000020E610000064A18CA7D482474064A18CA7D4824740","""Sanandaj, فرجه, Saghez Road Circular""","65","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""Saadi Rezaei Bakery""","35.3159621","47.0237777","0101000020E6100000E2EFCD250B834740E2EFCD250B834740","""فرجه، سنندج""","66","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""سنگک و بربری""","35.3198219","47.0226029","0101000020E6100000BB25DEA6E4824740BB25DEA6E4824740","""Sanandaj, فرجه, Saghez Road Circular""","67","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""Barbary Zagros""","35.282354","46.9849108","0101000020E610000013BD9D8E117E474013BD9D8E117E4740","""Zagros Town, Sanandaj""","68","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نان لواش""","35.2806057","46.989892","0101000020E61000003849F3C7B47E47403849F3C7B47E4740","""Zagros Town, Sanandaj""","69","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""Lavash Bread""","35.280942","46.987244","0101000020E61000000B96EA025E7E47400B96EA025E7E4740","""Sanandaj, Zagros Town, خيابان سيروان""","70","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""نان لەواش""","35.274808","46.9825561","0101000020E61000001EFEF565C47D47401EFEF565C47D4740","""Sanandaj, Vila Shahr, خیابان آبشار""","71","[""bakery"",""food"",""store"",""point_of_interest"",""establishment""]"
"""Mellat Bank""","35.3117502","46.9968939","0101000020E61000007C0A25389A7F47407C0A25389A7F4740","""Sanandaj""","72","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Bank saderat iran""","35.3119948","46.9958085","0101000020E6100000154A26A7767F4740154A26A7767F4740","""Sanandaj""","73","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""City Bank""","35.3212228","46.991156","0101000020E6100000F99D2633DE7E4740F99D2633DE7E4740","""Sanandaj, سنندج- خيابان امام خميني- مقابل گمرک-طبقه همکف واحد خدمات شهري, Imam""","74","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Cooperative Development Bank""","35.3079481","46.9942588","0101000020E61000004EE152DF437F47404EE152DF437F4740","""Sanandaj, Hassan Abad Street""","75","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Ghavamin Bank""","35.3079769","46.9942736","0101000020E61000005BA3795B447F47405BA3795B447F4740","""Sanandaj, Hassan Abad Street""","76","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Resalat Bank""","35.3083084","46.9999456","0101000020E6100000B9E3A837FE7F4740B9E3A837FE7F4740","""Sanandaj, Sayed Qutb""","77","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Bank Keshavarzi""","35.3100132","46.9958465","0101000020E610000004ABEAE5777F474004ABEAE5777F4740","""Sanandaj, Hassan Abad""","78","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3121431","46.9951719","0101000020E6100000F832F6CA617F4740F832F6CA617F4740","""Sanandaj, Keshavarz Street""","79","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""اداره امورشعب بانك ملي استان كردستان""","35.3107371","46.9962528","0101000020E610000032463536857F474032463536857F4740","""Sanandaj""","80","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Bank Melli""","35.3105308","46.9962262","0101000020E61000008D351257847F47408D351257847F4740","""Sanandaj""","81","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.3105686","46.996395","0101000020E6100000F07211DF897F4740F07211DF897F4740","""Sanandaj""","82","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.313406","46.9924672","0101000020E6100000252D4B2A097F4740252D4B2A097F4740","""Sanandaj, Keshavarz Street""","83","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Ayandeh Bank بانک آینده""","35.3115538","46.9918057","0101000020E610000042BE3A7DF37E474042BE3A7DF37E4740","""Sanandaj""","84","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Tejarat Bank""","35.3083424","46.9977069","0101000020E61000002C3F15DCB47F47402C3F15DCB47F4740","""Sanandaj, Farid Tarif""","85","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Melli Bank""","35.3089147","47.0004049","0101000020E61000000B218C440D8047400B218C440D804740","""Sanandaj, Sayed Qutb""","86","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3123379","46.9892026","0101000020E61000001F0FD8309E7E47401F0FD8309E7E4740","""Sanandaj, Mardokh Street""","87","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Bank saderat iran""","35.3172131","46.9985998","0101000020E61000006565451ED27F47406565451ED27F4740","""Sanandaj""","88","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Maskan Bank""","35.3154261","47.0028377","0101000020E610000013595AFC5C80474013595AFC5C804740","""Sanandaj, خیابان سیروس""","89","[""bank"",""atm"",""finance"",""point_of_interest"",""establishment""]"
"""Bank melli""","35.3076993","46.9895118","0101000020E6100000C8009A52A87E4740C8009A52A87E4740","""Sanandaj""","90","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""Credit institution Skryh - Sanandaj Branch - 359 Index""","35.304943","46.9981492","0101000020E6100000A7435D5AC37F4740A7435D5AC37F4740","""Sanandaj, Hafez Street""","91","[""bank"",""finance"",""point_of_interest"",""establishment""]"
"""کبابی بهار""","35.3102266","46.9954696","0101000020E6100000C314408C6B7F4740C314408C6B7F4740","""Sanandaj, میدان اقبال""","92","[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]"
"""قهوه خانه خالو امیر""","35.3192999","47.0124641","0101000020E6100000E0EF726C98814740E0EF726C98814740","""Sanandaj""","93","[""bar"",""point_of_interest"",""establishment""]"
"""Toreh beauty salon""","35.3113513","46.9866753","0101000020E6100000B0A250604B7E4740B0A250604B7E4740","""Sanandaj""","94","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""سالن زیبایی گیوا""","35.3014371","46.9950485","0101000020E610000089B7CEBF5D7F474089B7CEBF5D7F4740","""Sanandaj""","95","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""Shideh beauty""","35.299774","46.9954498","0101000020E6100000A6E727E66A7F4740A6E727E66A7F4740","""Sanandaj, Jame Jam Boulevard""","96","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""کلبه زیبایی اسلایس""","35.3232786","46.9997699","0101000020E61000003903C875F87F47403903C875F87F4740","""Sanandaj""","97","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""سالن زیبایی ورتاج""","35.3166747","46.974079","0101000020E6100000365CE49EAE7C4740365CE49EAE7C4740","""Sanandaj, Shebli""","98","[""beauty_salon"",""point_of_interest"",""establishment""]"
"""فروشگاه مرادی""","35.307307","46.9919586","0101000020E610000033FED87FF87E474033FED87FF87E4740","""Sanandaj""","99","[""bicycle_store"",""store"",""point_of_interest"",""establishment""]"
